Rk,Player,Nationality,Position,Club,Age,Match Played,Starts,Minutes Played,Goals,Assist,Yellow Card,Red Card,2 Yellow Card,Penalty Kicks,Penalty Attempted,xG,xAG
96,Isaac Carcelen,ESP,DFMF,Cádiz,28,25,17,1544,0,1,2,0,0,0,0,0.4,0.5
97,Cárdenas,ESP,GK,Levante,24,24,24,2160,0,0,3,0,0,0,0,0,0
98,Carlo,ESP,MF,Villarreal,20,1,0,7,0,0,0,0,0,0,0,0,0
99,Diego Carlos,BRA,DF,Sevilla,28,34,34,2957,3,0,4,1,1,0,0,2.1,0.2
100,Carmona,ESP,DF,Sevilla,19,1,0,24,0,0,0,0,0,0,0,0,0
101,Yannick Carrasco,BEL,FWMF,Atlético Madrid,27,34,28,2583,6,6,5,0,0,2,2,5.3,7
102,Guido Carrillo,ARG,FW,Elche,30,29,11,1168,2,0,3,0,0,0,0,2.6,0.3
103,Dani Carvajal,ESP,DF,Real Madrid,29,24,17,1551,1,3,1,0,0,0,0,0.5,2.4
104,William Carvalho,POR,MF,Betis,29,33,20,1805,2,3,6,0,0,0,0,3.1,1.5
105,Casemiro,BRA,MF,Real Madrid,29,32,31,2569,1,3,11,0,0,0,0,2.5,2.8
106,Kiko Casilla,ESP,GK,Elche,34,14,14,1260,0,0,3,0,0,0,0,0,0.1
107,Catena,ESP,DF,Rayo Vallecano,26,36,36,3240,2,2,8,0,0,0,0,1.4,0.8
108,Dani Ceballos,ESP,MF,Real Madrid,24,11,2,276,0,0,1,0,0,0,0,0.7,0.2
109,Franco Cervi,ARG,MF,Celta Vigo,27,33,21,1801,4,3,5,0,0,0,0,3.1,1.1
110,Chapela,ESP,MFFW,Cádiz,22,9,4,398,0,0,0,0,0,0,0,0.1,0.1
111,Chema,ESP,MF,Getafe,29,1,1,45,0,0,1,1,0,0,0,0,0
112,Denis Cheryshev,RUS,MFFW,Valencia,30,17,5,563,0,1,1,0,0,0,0,0.9,0.4
113,Samuel Chukwueze,NGA,MFFW,Villarreal,22,27,12,1333,3,3,4,0,0,0,0,4.6,4.6
114,Víctor Chust,ESP,DF,Cádiz,21,25,20,1830,0,0,2,0,0,0,0,0.7,0
115,Jasper Cillessen,NED,GK,Valencia,32,17,17,1457,0,1,1,0,0,0,0,0,0
116,Pathé Ciss,SEN,MF,Rayo Vallecano,27,31,11,1097,2,1,5,0,0,0,0,1.7,0.5
117,Carlos Clerc,ESP,DF,Levante,29,19,18,1514,0,0,6,0,0,0,0,0.1,0.8
118,Coke,ESP,DF,Levante,34,6,1,118,1,0,1,0,0,0,0,0.6,0.1
119,Álex Collado,ESP,MFFW,Granada,22,17,13,1020,2,1,1,0,0,0,0,0.8,1
120,Eray Cömert,SUI,DF,Valencia,23,8,5,408,0,0,2,0,0,0,0,0.4,0
121,Santi Comesaña,ESP,MF,Rayo Vallecano,24,35,32,2682,1,2,12,1,1,0,0,3.7,2
122,Diego Conde,ESP,GK,Getafe,22,1,0,6,0,0,0,0,0,0,0,0,0
123,Francis Coquelin,FRA,MF,Villarreal,30,20,8,830,2,1,3,0,0,0,0,0.3,0.8
