Rk,Player,Nationality,Position,Club,Age,Match Played,Starts,Minutes Played,Goals,Assist,Yellow Card,Red Card,2 Yellow Card,Penalty Kicks,Penalty Attempted,xG,xAG
504,Rubén,ESP,DF,Espanyol,20,4,1,150,0,1,0,0,0,0,0,0,0.5
505,Aitor Ruibal,ESP,FWDF,Betis,25,19,9,856,0,0,6,0,0,0,0,1,1
506,Isma Ruiz,ESP,MF,Granada,20,8,3,283,0,0,1,0,0,0,0,0.1,0.1
507,Víctor Ruiz,ESP,DF,Betis,32,18,17,1424,0,0,2,0,0,0,0,0.9,0.1
508,Gerónimo Rulli,ARG,GK,Villarreal,29,32,32,2880,0,0,2,0,0,0,0,0,0
509,Franco Russo,ARG,DF,Mallorca,26,19,17,1464,1,0,7,2,2,0,0,0.2,0.2
510,Mathew Ryan,AUS,GK,Real Sociedad,29,3,3,270,0,0,0,0,0,0,0,0,0
511,Youssouf Sabaly,SEN,DF,Betis,28,10,9,788,0,1,1,0,0,0,0,0.1,0.5
512,Salvi,ESP,MFFW,Cádiz,30,23,17,1395,2,1,3,1,1,0,1,2.6,1.2
513,Fede San Emeterio,ESP,MF,Cádiz,24,12,10,830,0,0,3,0,0,0,0,0,0.3
514,Oihan Sancet,ESP,FW,Athletic Club,21,27,16,1422,6,4,2,0,0,0,0,3.4,2.9
515,Antonio Sánchez,ESP,MFFW,Mallorca,24,29,19,1616,1,0,3,1,0,0,0,1.4,0.4
516,Germán Sánchez,ESP,DF,Granada,34,32,25,2299,2,1,11,1,1,0,0,1.4,0.2
517,Juan Sánchez,ESP,,Sevilla,17,1,0,5,0,0,1,0,0,0,0,,
518,Manuel Sánchez,ESP,DF,Osasuna,20,33,25,2257,1,3,6,0,0,0,0,0.4,1.9
519,Oier Sanjurjo,ESP,MF,Osasuna,35,25,8,758,1,0,3,0,0,0,0,0.7,0.2
520,Jesús Santiago,ESP,MF,Valencia,17,3,0,82,0,0,0,0,0,0,0,0,0
521,Sergio Santos,ESP,DF,Real Madrid,20,1,0,11,0,0,0,0,0,0,0,0,0.1
522,Alvaro Sanz,ESP,MF,Barcelona,20,2,0,29,0,0,0,0,0,0,0,0,0
523,Marcelo Saracchi,URU,DF,Levante,23,4,2,186,0,1,2,0,0,0,0,0,0.2
524,Joan Sastre Vanrell,ESP,DF,Mallorca,24,7,2,258,0,0,1,0,0,0,0,0.1,0
525,Esteban Saveljich,MNE,DF,Rayo Vallecano,30,21,21,1700,0,0,4,0,0,0,0,0.6,0
526,Stefan Savic,MNE,DF,Atlético Madrid,30,28,28,2440,0,0,12,0,0,0,0,1.9,0.1
527,Valentino Scotta,ESP,DF,Sevilla,19,1,0,1,0,0,0,0,0,0,0,0,0
528,Aleksandar Sedlar,SRB,DFMF,Mallorca,29,10,3,404,0,0,5,1,1,0,0,0,0.1
529,Javier Serrano,ESP,MF,Atlético Madrid,18,5,1,68,0,0,1,1,0,0,0,0,0
530,Nicolás Serrano,ESP,MFFW,Athletic Club,18,14,3,317,1,0,0,0,0,0,0,0.4,0.1
531,Salva Sevilla,ESP,MF,Mallorca,37,28,17,1507,5,3,2,0,0,4,4,4.8,2.8
532,David Silva,ESP,MF,Real Sociedad,35,25,22,1720,2,4,4,1,0,0,0,3.1,4.5
533,Jonathan Silva,ARG,DFFW,Getafe,27,9,1,226,0,0,4,0,0,0,0,0,0.1
534,Rui Silva,POR,GK,Betis,27,22,21,1964,0,0,2,0,0,0,0,0,0
535,Giuliano Simeone,ARG,MF,Atlético Madrid,18,1,0,1,0,0,0,0,0,0,0,0,0
536,Unai Simón,ESP,GK,Athletic Club,24,34,34,3060,0,0,3,0,0,0,0,0,0
537,Antonio Sivera,ESP,GK,Alavés,24,4,3,277,0,0,1,0,0,0,0,0,0
538,Rubén Sobrino,ESP,MF,Valencia,29,1,0,14,0,0,0,0,0,0,0,0,0
539,Rubén Sobrino,ESP,FWMF,Cádiz,29,33,19,1861,4,1,4,0,0,0,0,5.4,1.8
540,Alex Sola,ESP,DFFW,Real Sociedad,22,2,0,41,0,0,0,0,0,0,0,0.1,0.1
541,Augusto Solari,ARG,MFDF,Celta Vigo,29,26,4,714,0,0,5,0,0,0,0,0.3,0.5
542,Roberto Soldado,ESP,FW,Levante,36,18,7,664,3,2,7,2,1,0,0,3.7,0.7
543,Carlos Soler,ESP,MF,Valencia,24,32,28,2474,11,5,4,0,0,7,7,9.1,4
544,Son,ESP,DF,Levante,27,26,22,1971,1,0,5,1,0,0,0,0.9,1.3
545,David Soria,ESP,GK,Getafe,28,38,38,3414,0,0,4,0,0,0,0,0,0
546,Alberto Soro,ESP,MFFW,Granada,22,16,7,578,0,0,0,0,0,0,0,0.8,0.5
547,Hugo Sotelo,ESP,FW,Celta Vigo,17,1,0,2,0,0,0,0,0,0,0,0,0
548,Damián Suárez,URU,DF,Getafe,33,35,31,2711,0,3,13,0,0,0,0,0.4,3
549,Denis Suárez,ESP,MF,Celta Vigo,27,38,33,2819,4,6,4,0,0,0,0,2.2,4.4
550,Luis Suárez,URU,FW,Atlético Madrid,34,35,20,1835,11,2,7,0,0,2,3,10,1.3
551,Mario Suárez,ESP,DF,Rayo Vallecano,34,14,8,712,0,0,2,0,0,0,0,1,0
552,Suso,ESP,FW,Sevilla,27,8,6,384,0,1,0,0,0,0,0,0.3,0.2
553,Mamadou Sylla,SEN,FWMF,Alavés,27,13,4,394,0,0,1,0,0,0,0,0.4,0.1
554,Mamadou Sylla,SEN,FW,Rayo Vallecano,27,12,1,253,0,0,2,0,0,0,0,1.1,0.3
555,Alexander Sørloth,NOR,FW,Real Sociedad,25,33,20,1763,4,0,2,0,0,0,0,5.9,3.4
556,Tachi,ESP,DF,Alavés,23,5,2,239,0,0,1,0,0,0,0,0,0.1
557,Renato Tapia,PER,MF,Celta Vigo,26,29,13,1412,0,0,10,0,0,0,0,0.5,0.3
558,Cristian Tello,ESP,FW,Betis,29,23,5,819,2,2,2,0,0,0,0,1.7,1.7
559,Nahuel Tenaglia,ARG,DF,Alavés,25,14,12,1073,0,0,2,0,0,0,0,0.3,0.1
560,Marc Tenas,ESP,FWMF,Alavés,20,3,0,54,0,0,2,0,0,0,0,0,0.2
561,Marc-André ter Stegen,GER,GK,Barcelona,29,35,35,3150,0,0,3,0,0,0,0,0,0.1
562,David Timor,ESP,MF,Getafe,31,7,3,341,0,0,2,0,0,0,0,0.2,0
563,Mircea Tîrlea,ROU,DF,Alavés,21,1,0,15,0,0,0,0,0,0,0,0,0
564,Raúl de Tomás,ESP,FW,Espanyol,26,34,33,2914,17,3,7,2,1,5,5,15.1,1.6
565,Raúl Torrente,ESP,DF,Granada,19,18,15,1282,0,0,5,0,0,0,0,0.2,0.7
566,Ferrán Torres,ESP,FW,Barcelona,21,18,17,1412,4,4,1,0,0,1,1,7,3.1
567,Óliver Torres,ESP,MFFW,Sevilla,26,26,11,1008,2,3,2,0,0,0,0,0.7,1.4
568,Pau Torres,ESP,DF,Villarreal,24,33,33,2855,5,1,5,0,0,0,0,3,1.5
569,Roberto Torres,ESP,MFFW,Osasuna,32,28,6,809,2,2,3,0,0,2,2,2.1,2.3
570,Lucas Torró,ESP,MF,Osasuna,27,33,32,2725,1,0,10,0,0,0,0,1.6,0.6
571,Adama Traoré,ESP,FW,Barcelona,25,11,4,382,0,2,0,0,0,0,0,0.7,0.9
572,Óscar Trejo,ARG,MF,Rayo Vallecano,33,32,24,2007,3,9,13,0,0,3,3,3.3,5
573,Manu Trigueros,ESP,MFFW,Villarreal,29,35,27,2178,6,4,3,0,0,0,0,5.7,2.6
574,Kieran Trippier,ENG,DFFW,Atlético Madrid,30,15,12,976,0,0,1,0,0,0,0,0.1,0.3
575,Beñat Turrientes,ESP,MF,Real Sociedad,19,8,1,207,0,0,1,0,0,0,0,0.4,0.2
576,Samuel Umtiti,FRA,DF,Barcelona,27,1,1,90,0,0,1,0,0,0,0,0,0
577,Enes Ünal,TUR,FW,Getafe,24,37,33,2798,16,1,8,0,0,2,4,10.4,1.5
578,Myrto Uzuni,ALB,FWMF,Granada,26,15,9,856,1,1,4,0,0,0,0,1.1,0.9
579,Álvaro Vadillo,ESP,DFMF,Espanyol,26,3,0,7,0,0,1,0,0,0,0,0,0
580,Óscar Valentín,ESP,MF,Rayo Vallecano,26,35,29,2569,0,0,8,0,0,0,0,1.2,1
581,Germán Valera,ESP,FW,Real Sociedad,19,3,0,51,0,0,0,0,0,0,0,0,0
582,Martin Valjent,SVK,DF,Mallorca,25,36,36,3181,0,0,4,0,0,0,0,0.3,0.7
583,Jesús Vallejo,ESP,DF,Real Madrid,24,5,4,341,0,0,1,0,0,0,0,0,0
584,Manu Vallejo,ESP,MFFW,Alavés,24,11,2,370,1,1,0,0,0,0,0,0.7,0.3
585,Manu Vallejo,ESP,FWMF,Valencia,24,9,0,98,0,0,3,0,0,0,0,0.2,0.1
586,Federico Valverde,URU,MF,Real Madrid,23,31,19,1833,0,1,2,0,0,0,0,0.9,1.7
587,José Luis García Vayá,ESP,MF,Levante,22,29,23,2012,0,0,9,0,0,0,0,0.6,2.2
588,Jesus Vazquez,ESP,DF,Valencia,18,15,8,813,0,0,0,0,0,0,0,0.6,0.2
589,Kevin Vázquez,ESP,DF,Celta Vigo,28,17,16,1334,0,1,3,0,0,0,0,0.4,1.2
590,Lucas Vázquez,ESP,DF,Real Madrid,30,29,20,1833,3,0,3,0,0,0,0,2.2,2.5
591,Gabriel Veiga,ESP,MF,Celta Vigo,19,7,0,108,0,0,0,0,0,0,0,0,0
592,Unai Vencedor Paris,ESP,MF,Athletic Club,20,34,29,2383,0,0,4,0,0,0,0,0.9,0.7
593,Gonzalo Verdú,ESP,DF,Elche,32,19,16,1397,0,0,11,0,0,0,0,0.1,0
594,Mikel Vesga,ESP,MF,Athletic Club,28,32,17,1358,2,0,7,2,2,0,0,1,0.9
595,Rúben Vezo,POR,DF,Levante,27,32,27,2420,0,0,4,0,0,0,0,0.6,0.5
596,Aleix Vidal,ESP,DFMF,Espanyol,31,31,21,1901,2,0,10,0,0,0,0,0.7,2.3
597,Nacho Vidal,ESP,DF,Osasuna,26,35,33,2902,0,1,9,0,0,0,0,1.2,2.2
598,Dídac Vilà,ESP,DFMF,Espanyol,32,9,1,203,0,0,3,0,0,0,0,0,0.1
599,Tonny Vilhena,NED,MFFW,Espanyol,26,17,13,928,1,1,4,0,0,0,0,0.8,0.9
600,Daniel Villahermosa,ESP,MF,Espanyol,20,1,0,23,0,0,0,0,0,0,0,0,0
601,Asier Villalibre,ESP,FW,Athletic Club,23,19,3,548,2,0,0,0,0,0,0,2.4,0.1
602,Gonzalo Villar,ESP,MF,Getafe,23,10,2,298,0,1,0,0,0,0,0,0.4,0.3
603,Vitolo,ESP,MF,Getafe,31,7,1,221,0,0,0,0,0,0,0,0,0.1
604,Daniel Vivian,ESP,DF,Athletic Club,22,24,22,1986,2,1,2,0,0,0,0,1.3,0.5
605,Šime Vrsaljko,CRO,DF,Atlético Madrid,29,21,10,914,1,2,4,0,0,0,0,1.3,0.5
606,Nikola Vukcevic,MNE,MF,Levante,29,6,0,118,0,0,1,0,0,0,0,0,0
607,Daniel Wass,DEN,DFFW,Atlético Madrid,32,1,0,45,0,0,1,0,0,0,0,0,0
608,Daniel Wass,DEN,MF,Valencia,32,19,19,1582,1,1,6,0,0,0,0,1.8,0.6
609,Iñaki Williams,GHA,FW,Athletic Club,27,38,32,2777,8,5,4,0,0,1,1,14.1,5.7
610,Nico Williams,ESP,MF,Athletic Club,19,34,11,1337,0,0,4,0,0,0,0,2.6,1.5
611,Okay Yokuslu,TUR,DFMF,Getafe,27,11,5,465,0,0,1,0,0,0,0,0.3,0
612,Okay Yokuslu,TUR,DFMF,Celta Vigo,27,8,1,140,0,0,0,0,0,0,0,0.1,0
613,Joseba Zaldúa,ESP,DF,Real Sociedad,29,24,14,1172,0,0,6,0,0,0,0,0.1,0.2
614,Oier Zarraga,ESP,MF,Athletic Club,22,31,8,1166,1,0,5,0,0,1,1,1.3,0.2
615,Luca Zidane,FRA,GK,Rayo Vallecano,23,8,8,645,0,0,0,1,0,0,0,0,0
616,Igor Zubeldia,ESP,DF,Real Sociedad,24,26,19,1648,0,1,7,0,0,0,0,0.6,1
617,Martín Zubimendi,ESP,MF,Real Sociedad,22,36,26,2591,2,1,4,0,0,0,0,2.2,0.6
